旧值	新值	频率
净分值标注右侧	标注评分	1
净变化标注	标注数值	1
准备度%标注	标注占比	1
出行方式+占比	标注占比	1
分位值标注	标注数值	1
分位标注	标注数值	1
分位标注面积内	标注评分	1
分叉标选择	标注数值	1
分子名标注图形	标注实体名	1
分子名标注节点	标注阶段	1
分子标注	标注数值	1
分子标注名和功能	其他标注	1
分支名+物种数	其他标注	1
分支标类别+占比	标注占比	1
分支标能力	标注数值	1
分数标注顶点	标注数值	1
分歧度标注	标注差异	1
分组箱线图，X轴=罪名类型，Y轴=刑期月数，同一罪名下并列不同种族的箱体	标注象限策略	1
分面坡度图，每个国家一格，网格排列，共享双端刻度	标注实体名	1
分面标签标注	标注数值	1
分项名称+贡献度	其他标注	1
创新度标注	标注数值	1
判例名标注	标注实体名	1
利润率+排名	标注排名	1
利润率+收入	标注效率	1
利润率标注	标注效率	1
利用率+产能	标注数值	1
制造商+机型	标注数值	1
刺激时间点标注	其他标注	1
刻度标里程碑	标注阶段	1
剂次+覆盖率	标注占比	1
力导向布局，节点+边，社区聚类自然分离	标注阶段	1
力导向布局，节点自由定位，无固定坐标轴	标注阶段	1
力标注顶点	标注数值	1
功率+安全性	标注风险	1
功能标注	标注数值	1
加速器名+纪录	其他标注	1
动作名+选手	标注数值	1
动作类型+趋势线	标注趋势特征	1
动力类型+占比	标注占比	1
匹配标注	标注数值	2
区域+占比	标注占比	1
区域+带宽	标注数值	1
区域+温差	标注数值	1
区域+缺口额	标注差异	1
区域+资源	标注数值	1
区域+距离	标注数值	1
区域+震级	标注数值	1
区域/渠道	标注数值	1
区域/类型	标注数值	1
区域名+份额	标注金额占比	1
区域名+出行量	标注实体名	1
区域名+峰值	标注实体名	1
区域名+异常值	标注实体名	1
区域名+象限	标注实体名	1
区域名标注	标注实体名	1
区域名标注图内	标注实体名	1
区域名称	标注实体名	5
区域命中率百分比	标注转化率	1
区域战术标签	标注数值	1
区域标注	标注数值	2
区域标认知类型	其他标注	1
十年标注	标注数值	1
十年标记+异常值	其他标注	1
协议名称	标注数值	1
协议生效标注	标注数值	1
单元格标姓名	标注数值	1
单元格标注十亿立方米	其他标注	1
单元格标注增长率	标注增长率	1
单元格标注峰值	标注趋势特征	1
单元格标注等级	标注评分	1
单元格标等级	标注评分	1
单元格标节目	标注数值	1
单元格标评级	标注评分	1
单元格标风险等级	标注风险	1
单坐标系散点图，X轴=实际再犯风险，Y轴=算法评分，决策边界斜线将空间分为四个象限	标注风险	1
单坐标系重叠直方图，X轴=信用评分，Y轴=频数密度	标注评分	1
单根大柱	标注数值	1
单行水平散点，纵轴无意义，纯一维排列	其他标注	1
占比+吨数	标注占比	1
占比+增速	标注增长率	1
占比+排名	标注排名	1
占比+类型	标注占比	1
占比+金额	标注金额占比	1
占比标注	标注占比	10
占比标注扇区	标注占比	3
占比标注柱	标注占比	1
占比标注柱内	标注占比	1
占比标注柱端	标注占比	1
占比标注柱顶	标注占比	1
占比标注段内	标注占比	7
占比标注环内	标注占比	5
占比百分比标注	标注占比	1
卡片内标排名、艺人和时长	标注排名	1
卡片内标数据和趣味发现	标注驱动因素	2
卡片内标数据和趣味洞察	标注驱动因素	1
卡片标指标名、值和变化率	标注增长率	1
卡片标指标名、周均值和趋势	标注趋势特征	1
卡片网格，每张卡片=一个选民群体=头像+标题+迷你数据组	其他标注	1
危机指数标注图例	标注位置	1
厂商+份额	标注金额占比	1
厂商名标注	标注实体名	1
厂商名标注气泡	标注实体名	1
厂商名标注点旁	标注实体名	1
历史事件标注时间轴	标注事件	1
历史均值线	标注数值	1
历史数据实线	标注数值	1
压力指数标注	标注评分	1
原告→结果	标注数值	1
原因+金额	标注驱动因素	1
去除量+潜力	标注数值	1
参与者名标注	标注实体名	1
参数+纪录	标注数值	1
参数标注	标注数值	1
双	标注数值	1
双向横条金字塔，左男右女，叠加两个年份的半透明层	标注阶段	1
双向聚类热力图，行列各带	其他标注	1
双层环形，内→外层级展开	标注阶段	1
双时间点斜率图，左"衰退前"右"衰退后"	其他标注	1
双纵轴坡度图，左"之前"右"之后"	其他标注	1
双纵轴斜率图，左"上周"，右"本周"，斜率=变化方向	其他标注	1
发售事件标注	标注事件	1
发现名+意义	标注驱动因素	1
发生率%标注	标注占比	1
发生率+OR值	其他标注	1
发生率+休战天数	标注数值	1
发行额+风险类型	标注因素金额	1
变化%标注线上	标注占比	1
变化值标注双点间	其他标注	1
变化值标注线上	标注位置	1
变化幅度+方向	标注差异	1
变化幅度标注	标注差异	1
变化幅度标注右侧	标注位置	1
变化标注	标注数值	1
变化标注线上	标注位置	3
变化点标注	标注数值	1
变异株标注	标注数值	1
叠加季度季节性阴影	其他标注	1
叠加经济衰退阴影区域	其他标注	1
叠加美元占比参考线	标注金额占比	1
口味名标注	标注实体名	1
可及率+收入组别	其他标注	1
台阶标级别	标注数值	1
右上角标峰值	标注趋势特征	1
右侧叠加借款人故事	其他标注	1
右侧图例标类型名和百分比	标注占比	1
右侧标各类型占比，顶部标总债务额	标注金额占比	1
右侧标国家名和百分比	标注占比	1
右侧标女性百分比，中间标年龄组	标注占比	1
右侧标排名和分数，底部标国家名	标注排名	1
右侧标注人物引用	其他标注	1
右侧标注人物采访引用	其他标注	1
右侧标注各层占比，基准线标"盈亏平衡点"	标注参考线	1
右侧标注各能源人均值，总面积标合计	其他标注	1
右侧标注各能源类型和最新占比	标注占比	1
右侧标注国家名，左侧标数值	标注实体名	1
右侧标注家庭案例	其他标注	1
右侧标细胞类型名和比例%，x	标注占比	1
叶节点标假设名和验证状态	标注阶段	1
叶节点标假设名和验证状态图标	标注阶段	1
叶节点标注利率预测值	标注阶段	1
各扇区标注技术名	标注实体名	1
各数据集标注	标注数值	1
各环节标时间、等待时间、增值比	标注阶段	1
各环节标注通过率和平均耗时	标注转化率	1
各环节标转化率和流失	标注转化率	1
各环节百分比	标注占比	1
各等级占比	标注占比	1
各节点标名称和数量，流线标转化率	标注转化率	1
各证据标注	标注数值	1
各阶段标注成功率和案例数	标注转化率	1
合约名+趋势线	标注趋势特征	1
同心环，内环大类，外环子类，中心留空	其他标注	1
名称+温度	标注数值	1
吞吐量+增长率	标注规模增速	1
听众数+增速	标注增长率	1
周数标注	标注数值	1
周期标注	标注阶段	1
周次标注柱	标注数值	1
周转次数标注柱端	其他标注	1
命中率标注	标注转化率	1
命中率标注区域	标注转化率	1
品牌+占比	标注占比	1
品牌名+行业	标注实体名	1
品牌名标注	标注实体名	1
品牌名标注柱	标注实体名	1
品类+占比	标注占比	2
品类+成本	标注数值	1
品类+金额	标注因素金额	1
品类名+代表游戏	其他标注	1
品类名+利润率	标注效率	1
品类名+增速	标注增长率	1
品类名+象限	标注象限策略	1
品类名标注	标注实体名	1
哑铃图，左端=预算，右端=票房，连接线=利润/亏损空间，按利润率排行	标注效率	1
商品名标注节点	标注阶段	1
器官标部门名	标注数值	1
四象限分区	标注象限策略	1
四象限散点+气泡，对角虚线区分优劣区	标注象限策略	1
四象限标签	标注象限策略	5
四象限气泡图，x	标注象限策略	1
四象限气泡图，x=消费频率（月均次），y=客单价（元）；辅助线划分高中低价值区	标注象限策略	1
四象限气泡散点，x=竞争强度（低→高），y=市场增长率（低→高）；PwC	标注增长率	1
回归线+R²	标注趋势特征	1
回归线+城市名	标注实体名	1
回归线+标注	标注趋势特征	1
回归趋势叠加	标注趋势特征	1
回收率+目标线	标注转化率	1
因素+Q值提升	标注因素金额	1
因素+产率提升	标注因素金额	2
因素+价格影响	标注因素金额	1
因素+影响	标注因素金额	1
因素+影响额	标注因素金额	2
因素+提升	标注因素金额	1
因素+提升幅度	标注因素金额	2
因素+效率提升	标注因素金额	1
因素+金额	标注因素金额	8
因素+降幅	标注因素金额	2
因素名标注	标注实体名	1
因素名标注轴上	标注实体名	1
因素标签	标注驱动因素	1
国名+区域	标注实体名	1
国名+区域色	标注实体名	1
国名+占比	标注占比	1
国名+变化	标注实体名	2
国名+合作额	标注实体名	1
国名+投资额	标注实体名	1
国名+排名	标注排名	1
国名+评分	标注评分	2
国名+象限	标注象限策略	3
国名+象限标签	标注象限策略	2
国名+贡献量	标注实体名	1
国名+趋势线	标注实体名	1
国名标注	标注实体名	8
国名标注偏离点	标注差异	1
国名标注图下方	标注实体名	1
国名标注头部气泡	标注实体名	1
国名标注左侧	标注实体名	1
国名标注异常点	标注实体名	1
国名标注气泡	标注实体名	1
国名标注气泡旁	标注实体名	1
国名标注离群点	标注实体名	1
国名标注趋势线上方	标注实体名	1
国名标注轴	标注实体名	1
国家+占比	标注占比	1
国家+基尼	标注实体名	1
国家+威胁数	标注实体名	1
国家+属性	标注实体名	1
国家+异常值	标注实体名	1
国家+技术	标注实体名	1
国家+申请数	标注实体名	1
国家+耐药率	标注实体名	1
国家+论文数	标注实体名	1
国家+趋势线	标注实体名	1
国家+边界	标注实体名	1
国家+金额	标注实体名	2
国家名+区域	标注实体名	1
国家名+增长率	标注增长率	1
国家名+覆盖率	标注占比	1
国家名+金额	标注实体名	1
国家名标注	标注实体名	2
国家填充色=多样性指数	标注评分	1
国家对比轮廓	标注实体名	1
国家数+占比	标注占比	1
国家标HDI	标注实体名	1
国家标注缩写，气泡大小=人均排放	标注实体名	1
国家沿圆周排列，弦宽=论文数	标注实体名	1
图例标注区间值	其他标注	1
图例标注细胞类型	其他标注	1
图标标百分比	标注占比	1
圆内标名称和	标注数值	1
圆内标金额和占比	标注金额占比	1
圆形弦图，外环弧段+内弦连接	其他标注	1
圆点标注涨幅%	标注占比	1
圆环布局，外圈弧段=细胞类型，内部弦=通讯关系；底部放图例和通路排名条	标注排名	1
圈层标层级名	标注阶段	1
圈标迭代版本	标注数值	1
地区地图底图	标注数值	1
地区标注面积内	标注位置	1
地图底图	标注数值	1
地图标城市名，时间线标日期和事件	标注事件	1
地址+金额	标注数值	1
地块+趋势线	标注趋势特征	1
地点+趋势线	标注趋势特征	1
地理底图	标注数值	1
地质时期标注	标注阶段	1
场景名+行业	标注数值	1
场景名+规模	标注数值	1
场景名称	标注数值	1
场景标注	标注数值	1
均线位置标信号	其他标注	1
块内标注份额%	标注金额占比	2
块内标注公司名+市值	标注实体名	1
块内标注类型+估值	其他标注	1
块内标注金额	标注数值	1
垂直参考线=1.0，右侧标	标注参考线	1
垂直参考线=无效应，右侧标效力%	标注参考线	1
垂直参考线=无效应，标	标注参考线	1
垂直参考线=零效应	标注参考线	3
垂直参考线=零效应，右侧标	标注参考线	1
垂直堆叠条，宽度编码份额	标注金额占比	1
垂直堆叠的密度曲线，共享x轴（月份），y轴为燃烧面积密度	标注趋势特征	1
垂直年代轴，水平轴=中位财富，每个年代一对左右偏移的圆点	标注参考线	1
垂直时间线，左右交替排列政策卡片	标注事件	1
垂直时间轴从上（入睡）到下（醒来），每个睡眠周期是一组水平声波行	标注阶段	1
垂直时间轴（y），水平散开（无严格x轴），形成时间切片上的蜂群簇	其他标注	1
垂直棒棒糖，降序排列	其他标注	1
垂直棒棒糖，降序排列，左侧城市名，右侧分钟数	标注实体名	1
垂直滚动信息图，每屏一个数据模块+插画+关键数字	其他标注	1
垂直滚动，每屏一个图表模块：产量折线→进口饼图→产区地图→人均对比	标注数值	1
城市+指标值	标注实体名	1
城市化率+增速	标注增长率	1
城市名	标注实体名	1
城市名+国家	标注实体名	2
城市名+效果	标注实体名	1
城市名+象限	标注实体名	1
城市名标注	标注实体名	4
城市名标注气泡旁	标注实体名	1
城市名标注节点	标注阶段	1
城市名标注轴	标注实体名	1
城市地图底图	标注实体名	1
城市标订单量	标注实体名	1
城市沿圆周排列，弦宽=联系强度	标注实体名	1
城市类型	标注实体名	1
基准线标"Pre-industrial	标注参考线	1
基因+位置	标注数值	1
基因+样本簇	标注数值	1
基因+细胞簇	标注数值	1
基因/簇名标注轴	标注实体名	1
基因名+FC	标注数值	1
基因名+簇	标注数值	1
基因名/样本名标注树端	标注实体名	1
基因名标注轨道旁	标注实体名	1
基因名标签	标注数值	1
基因名环外标注	其他标注	1
基尼系数标注	标注评分	1
基尼系数标注图内	标注评分	1
基点变化标注	标注数值	1
基金/维度名标注轴	标注维度评分	1
基金名	标注数值	1
基金名+国家	标注实体名	1
基金名标注	标注实体名	1
堆叠面积，x轴年份，y轴百分比	标注占比	1
增减原因标签	标注增长率	2
增加值+增速	标注增长率	1
增幅%+排名	标注增长率	1
增速+份额	标注规模增速	1
增速+排名变化	标注增长率	1
增速标注	标注增长率	1
增速标注柱顶	标注增长率	1
增速标注气泡旁	标注增长率	1
增量标注柱顶	标注数值	1
增长标注线上	标注位置	1
增长率标注	标注增长率	2
增长率标注图例	标注位置	1
增长率标注线端	标注增长率	1
外圈标注维度名，角标分值	标注维度评分	1
多层森林图——每个亚组一行方块+线，底部总合并菱形；异质性检验结果嵌入行间	标注阶段	1
多条密度曲线纵向错叠，制造"山脊"感	标注趋势特征	1
多行分面网格，每面一个行业，面内双柱对比（男vs女）	其他标注	1
多行分面，每面一个行业，面内双柱对比（正式vs临时），统一纵轴刻度	其他标注	1
多行点图，每行一个球队，行内多列指标，双色点对+连接线	其他标注	1
大学名+国家	标注实体名	1
大学名+象限	标注象限策略	1
大学名标注气泡	标注实体名	1
天体名+任务数	标注数值	1
天数+复发率	标注数值	1
天数标注柱	标注数值	1
天数标注段内	标注位置	1
央行+利率	标注数值	1
奖牌数+金/银/铜	标注数值	1
奖牌数+金/银/铜构成	标注数值	1
奖牌数标注段内	标注位置	1
奖金+级别	标注数值	1
奖金+赛事数	标注数值	1
威胁等级标注	标注评分	1
学习率%标注	标注占比	2
学习阶段标注	标注阶段	1
学生+知识点	标注数值	1
学生类型+趋势线	标注趋势特征	1
学科名+占比	标注占比	1
学科名称	标注数值	1
安全评分标注	标注风险	1
安装量+密度	标注趋势特征	1
完成度%标注	标注占比	1
完成度标注	标注数值	1
完成度百分比标注	标注占比	1
完成率标注条内	其他标注	1
实时值+同比标注	标注增长率	1
实践标注阶梯	标注数值	1
实际变化标注	标注数值	1
客户+累积%	标注占比	1
客流量标注	标注数值	1
客群名+特征	标注数值	1
客运量标注中线	其他标注	1
家办名+区域	标注数值	1
容量上限红线	标注风险	1
宿主+传播概率	标注数值	1
密度+增长率	标注增长率	1
密度图例标注右侧	标注位置	1
密度标城市名	标注实体名	1
对称性检验	标注数值	1
对称河流，中心线居中，时间轴底部	其他标注	1
对角线标变量名，上三角标	其他标注	1
对角线标注国家名，色块内标	标注实体名	1
小时数标注	标注数值	1
就业标注面积内	标注位置	1
尺寸类别	标注数值	1
尾矿库名+象限	标注象限策略	1
层标人数+比例	标注金额占比	1
层标人群+占比	标注占比	1
层标角色+压力	标注阶段	1
层级数+跨度	标注阶段	1
层级标注	标注阶段	1
层间标注关联度和统计检验	标注阶段	1
居中三环同心	标注数值	1
居中分类轴，左右双向柱，对称排列	标注象限策略	1
居中漏斗，左右对称收缩，层间间隙	标注阶段	1
居中漏斗，水平排列	其他标注	1
居中环形图	标注数值	1
居中雷达图	标注数值	1
岗位数+增速	标注增长率	1
岛屿标系统名	标注数值	1
岩石类型+趋势	标注趋势特征	1
峰值+平均	标注趋势特征	1
峰值日期+原因	标注驱动因素	1
峰值时间和值标注	标注趋势特征	1
峰值标事件名	标注事件	1
峰值标原因	标注驱动因素	1
峰值标注	标注趋势特征	2
嵌套矩形树图（Treemap	其他标注	1
州名标注	标注实体名	1
州边界标注，县名在关键区域显示	其他标注	1
工位标步骤+时间	标注阶段	1
工具名+类别	标注数值	1
工具名标注节点	标注阶段	1
工具标方法名	标注数值	1
工序标步骤+时间	标注阶段	1
工艺名称	标注数值	1
左→右四阶段桑基图：收入→计提→配置→收益；节点为竖向色带，连线为弯曲流量	标注阶段	1
左→右流向，左总量→中间分配→右归总	其他标注	1
左→右流向，左排放源→中间气体类型→右最终归总	标注数值	1
左侧一线城市节点，右侧省份节点，中间流线双向	标注阶段	1
左侧地图（可交互选点），右侧雷达图（动态响应选中养老院）	其他标注	1
左侧政府/公共资金源，中间政策/决策节点，右侧特朗普集团商业实体	标注事件	1
左侧水平条形图	其他标注	1
左右双	标注数值	2
左右标年份和国家名	标注实体名	1
左右标年份和国家名，中间标变化幅度	标注差异	1
左右标注品类和年变化率	标注增长率	1
左右标群体名，中间标差距倍数	标注差异	1
左源头→中转换→右用途，底部废弃流	其他标注	1
左端年初流派	标注数值	1
差值标注	标注数值	2
差值标注偏离处	标注差异	1
差异幅度标注	标注差异	1
差异标注	标注差异	1
差异标注中间	标注差异	1
差距	标注差异	1
差距%标注	标注差异	1
差距值标注连线中间	标注差异	1
差距来源+金额	标注因素金额	1
差距标注	标注差异	5
差距标注线上	标注位置	1
差距百分比标注	标注差异	2
差额标注偏离处	标注差异	1
币种名+市值	标注数值	1
币种名标注段内	标注实体名	1
市值+增速	标注规模增速	2
市场名+指标	标注数值	1
市场周期标注	标注阶段	1
市场类型标注	标注数值	1
布局即叙事结构	其他标注	1
带宽=万亿美元，标注转化率	标注转化率	1
带宽=产值，标注关键节点	标注阶段	1
带宽=亿元，标注转化率	标注转化率	1
带宽=亿吨公里，标注占比	标注占比	1
带宽=企业数量，标注业务方向	标注数值	1
带宽=包裹量百万件/年	标注数值	1
带宽=十亿新元，标注收益率	标注效率	1
带宽=十亿欧元	标注数值	1
带宽=十亿美元	标注数值	4
带宽=十亿美元，标注关键节点	标注阶段	1
带宽=十亿美元，标注项目数	标注数值	1
带宽=千吨，标注主要机场	标注数值	1
带宽=塑料吨数，标注各环节	标注阶段	1
带宽=市场份额%，标注关键节点	标注金额占比	1
带宽=市场份额%，标注瓶颈	标注金额占比	1
带宽=开发者数量，标注工具名	标注数值	1
带宽=成本节约十亿	标注数值	1
带宽=攻击事件数	标注事件	1
